Origin Name,Destination Name,Duration,walktime
Oasis Spice Café,Puss In Boots' Giant Journey,3 mins,3
Oasis Spice Café,Magic Potion Spin,3 mins,3
Oasis Spice Café,Treasure Hunters,1 min,1
Oasis Spice Café,"Lights, Camera, Action! Hosted by Steven Spielberg",3 mins,3
Oasis Spice Café,Starbucks,5 mins,5
Oasis Spice Café,Mel's Drive-In,4 mins,4
Oasis Spice Café,Loui's NY Pizza Parlor,10 mins,10
Oasis Spice Café,StarBot Café,2 mins,2
Oasis Spice Café,Discovery Food Court,2 mins,2
Oasis Spice Café,Fossil Fuel,2 mins,2
Oasis Spice Café,Goldilock,3 mins,3
Oasis Spice Café,Friar's Good Food,3 mins,3
Discovery Food Court,Revenge of the Mummy,2 mins,2
Discovery Food Court,Battlestar Galactica: HUMAN,3 mins,3
Discovery Food Court,Battlestar Galactica: CYLON,3 mins,3
Discovery Food Court,Accelerator,4 mins,4
Discovery Food Court,TRANSFORMERS The Ride: The Ultimate 3D Battle,5 mins,5
Discovery Food Court,Canopy Flyer,1 min,1
Discovery Food Court,Dino-Soarin,1 min,1
Discovery Food Court,Jurassic Park Rapids Adventure,2 mins,2
Discovery Food Court,Shrek 4-D Adventure,1 min,1
Discovery Food Court,Enchanted Airways,1 min,1
Discovery Food Court,Puss In Boots' Giant Journey,1 min,1
Discovery Food Court,Magic Potion Spin,1 min,1
Discovery Food Court,Treasure Hunters,1 min,1
Discovery Food Court,"Lights, Camera, Action! Hosted by Steven Spielberg",5 mins,5
Discovery Food Court,Starbucks,4 mins,4
Discovery Food Court,Mel's Drive-In,3 mins,3
Discovery Food Court,Loui's NY Pizza Parlor,9 mins,9
Discovery Food Court,StarBot Café,4 mins,4
Discovery Food Court,Oasis Spice Café,2 mins,2
Discovery Food Court,Fossil Fuel,1 min,1
Discovery Food Court,Goldilock,1 min,1
Discovery Food Court,Friar's Good Food,1 min,1
Fossil Fuel,Revenge of the Mummy,2 mins,2
Fossil Fuel,Battlestar Galactica: HUMAN,3 mins,3
Fossil Fuel,Battlestar Galactica: CYLON,3 mins,3
Fossil Fuel,Accelerator,3 mins,3
Fossil Fuel,TRANSFORMERS The Ride: The Ultimate 3D Battle,5 mins,5
Fossil Fuel,Canopy Flyer,1 min,1
Fossil Fuel,Dino-Soarin,1 min,1
Fossil Fuel,Jurassic Park Rapids Adventure,1 min,1
Fossil Fuel,Shrek 4-D Adventure,2 mins,2
Fossil Fuel,Enchanted Airways,2 mins,2
